Kecamatan,Jumlah Penduduk (Ribu),Laju Pertumbuhan Penduduk per Tahun,Persentase Penduduk,Kepadatan Penduduk per km persegi (Km2),Rasio Jenis Kelamin Penduduk,Tahun
Besuki,35319.0,0.42,3.41,430.0,1.0,2018
Bandung,43595.0,0.33,4.21,1039.0,0.9,2018
Pakel,50761.0,0.6,4.9,1408.0,0.9,2018
Campur Darat,57768.0,0.75,5.58,1460.0,1.0,2018
Tanggung Gunung,24777.0,0.61,2.39,210.0,0.9,2018
Kalidawir,64489.0,0.15,6.23,659.0,0.9,2018
Pucang Laban,22282.0,0.18,2.15,269.0,0.9,2018
Rejotangan,73870.0,0.51,7.14,1111.0,0.9,2018
Ngunut,79072.0,0.55,7.64,2097.0,0.9,2018
Sumbergempol,67462.0,0.58,6.52,1717.0,0.9,2018
Boyolangu,83247.0,0.88,8.04,2166.0,1.0,2018
Tulungagung,66268.0,0.18,6.6,2848.0,0.9,2018
Kedungwaru,90942.0,0.65,8.78,3058.0,1.0,2018
Ngantru,56042.0,0.72,5.41,1513.0,1.0,2018
Karangrejo,39747.0,0.18,3.84,1118.0,1.0,2018
Kauman,49957.0,0.18,4.83,1620.0,1.0,2018
Gondang,54625.0,0.12,5.28,1241.0,1.0,2018
Pager Wojo,30634.0,0.21,2.96,347.0,1.0,2018
Sendang,44433.0,0.27,4.29,461.0,1.0,2018
Tulungagung,1035290.0,0.46,100.0,981.0,1.0,2018
Besuki,39.2,0.54,3.51,477.0,101.1,2019
Bandung,49.1,0.37,4.39,1171.0,99.2,2019
Pakel,55.8,0.99,4.99,1547.0,98.9,2019
Campur Darat,59.4,0.68,5.31,1502.0,101.2,2019
Tanggung Gunung,26.4,0.98,2.36,224.0,99.6,2019
Kalidawir,76.7,0.78,6.85,784.0,98.8,2019
Pucang Laban,25.9,1.33,2.32,313.0,98.3,2019
Rejotangan,82.0,0.76,7.33,1233.0,100.8,2019
Ngunut,84.4,-0.06,7.55,2240.0,100.3,2019
Sumbergempol,74.2,0.99,6.63,1889.0,100.7,2019
Boyolangu,85.5,1.02,7.64,2224.0,100.6,2019
Tulungagung,67.5,-0.13,6.03,4939.0,97.4,2019
Kedungwaru,94.0,0.92,8.4,3160.0,100.8,2019
