Kecamatan,Islam,Protestan,Katolik,Hindu,Budha,Lainnya,Tahun
Besuki,40205,345,25,29,0,0,2019
Bandung,48064,53,0,0,0,0,2019
Pakel,56098,29,22,4,0,0,2019
Campurdarat,60232,98,45,35,0,2,2019
Tanggunggunung,27066,9,0,0,0,0,2019
Kalidawir,74411,116,0,0,0,0,2019
Pucanglaban,27441,13,12,0,2,0,2019
Rejotangan,82394,534,277,0,0,5,2019
Ngunut,77966,1174,2517,25,208,0,2019
Sumbergempol,74715,61,7,1,0,0,2019
Boyolangu,86169,344,0,12,0,0,2019
Tulungagung,63314,4787,2583,497,381,0,2019
Kedungwaru,94451,2478,798,35,148,75,2019
Ngantru,60265,300,26,10,0,19,2019
Karangrejo,47897,75,0,0,0,0,2019
Kauman,53135,1383,13,4,0,0,2019
Gondang,46507,113,66,0,5,0,2019
Pagerwojo,33018,77,21,0,0,0,2019
Sendang,54998,685,1,0,0,0,2019
Kabupaten Tulungagung,1108346,12674,6413,652,744,101,2019
Besuki,38975,465,12,19,4,0,2020
Bandung,49372,93,12,0,0,0,2020
Pakel,55818,73,13,0,0,0,2020
Campurdarat,59393,195,36,36,0,15,2020
Tanggunggunung,26453,16,8,1,0,0,2020
Kalidawir,76833,96,15,1,4,0,2020
Pucanglaban,26025,36,3,1,2,0,2020
Rejotangan,81699,392,155,1,5,15,2020
Ngunut,81793,2608,269,7,127,21,2020
Sumbergempol,74438,88,33,1,2,8,2020
Boyolangu,84860,879,124,17,17,3,2020
Tulungagung,62215,3294,1401,39,612,9,2020
Kedungwaru,91359,2124,743,5,123,61,2020
Ngantru,58232,281,99,0,13,0,2020
Karangrejo,45033,88,22,1,5,3,2020
Kauman,53297,599,118,2,4,9,2020
Gondang,61436,195,41,3,8,4,2020
Pagerwojo,32166,138,16,0,0,0,2020
Sendang,47118,798,23,0,1,0,2020
Kabupaten Tulungagung,1106515,12458,3143,134,927,148,2020
Besuki,39320,446,8,22,3,0,2022
Bandung,49416,101,17,0,0,0,2022
Pakel,55438,86,11,0,0,0,2022
Campurdarat,59455,210,33,30,0,0,2022
Tanggunggunung,26765,16,8,1,0,0,2022
Kalidawir,77647,92,15,1,3,0,2022
Pucanglaban,26985,42,3,0,2,0,2022
Rejotangan,82911,388,145,2,6,0,2022
Ngunut,81722,2553,260,8,114,6,2022
Sumbergempol,74480,97,38,2,2,0,2022
Boyolangu,85195,867,121,20,16,0,2022
Tulungagung,61711,3144,1348,33,542,5,2022
Kedungwaru,92232,2143,774,9,113,5,2022
Ngantru,59048,266,92,0,15,0,2022
Karangrejo,45151,79,19,1,4,0,2022
Kauman,52398,583,117,2,4,0,2022
Gondang,60271,191,46,3,12,0,2022
Pagerwojo,32936,151,17,5,0,0,2022
Sendang,48502,830,20,1,0,0,2022
KabupatenTulungagung,1111583,12285,3092,140,836,16,2022
Besuki,39459,452,8,23,3,0,2023
Bandung,49617,100,16,0,0,0,2023
Pakel,55711,88,16,0,0,0,2023
Campurdarat,59690,209,36,30,0,0,2023
Tanggunggunung,26854,16,8,1,0,0,2023
Kalidawir,77925,91,14,1,3,0,2023
Pucanglaban,27086,42,3,1,2,0,2023
Rejotangan,83100,391,144,2,5,0,2023
Ngunut,81981,2561,262,8,113,6,2023
Sumbergempol,74880,100,38,5,2,0,2023
Boyolangu,85546,870,123,20,17,0,2023
Tulungagung,61831,3123,1344,33,538,5,2023
Kedungwaru,92599,2135,779,9,116,5,2023
Ngantru,59328,265,94,0,15,0,2023
Karangrejo,45275,79,19,1,4,0,2023
Kauman,52520,586,115,2,4,0,2023
Gondang,60489,189,47,3,12,0,2023
Pagerwojo,33047,152,17,4,0,0,2023
Sendang,48695,830,18,1,0,0,2023
Kabupaten Tulungagung,1115633,12279,3101,144,834,16,2023
